Product_ID,Product_Name,Category,Subcategory,Price,Stock_Quantity,Description
101,OnePlus Nord CE 5G,Electronics,Smartphones,24999,50,"6.43-inch AMOLED, 64MP camera, 8GB RAM"
102,Mi 4A PRO 80 cm TV,Electronics,Televisions,32999,30,"HD Ready Android TV with Dolby Audio"
103,AmazonBasics Rice Cooker,Home & Kitchen,Kitchen Appliances,1299,100,"1.8L capacity, 360W power"
104,Allen Solly Polo T-Shirt,Fashion,Men's Clothing,799,200,"100% Cotton, Regular Fit"
105,Maybelline Lipstick,Beauty,Makeup,299,150,"Super Stay Matte Ink, 10hr wear"
106,Prestige Induction Cooktop,Home & Kitchen,Kitchen Appliances,2199,75,"2000W with auto shut-off"
107,Realme Buds Wireless Pro,Electronics,Audio,2999,120,"Active Noise Cancellation, 20hr playback"
108,Nike Revolution 6,Fashion,Sports Shoes,3499,80,"Cushioned midsole, Breathable mesh"
109,Borosil Glass Water Bottle,Home & Kitchen,Storage,399,200,"1000ml, Leak-proof, BPA Free"
110,Van Heusen Formal Shirt,Fashion,Men's Clothing,1299,150,"Slim Fit, Easy Iron Fabric"
111,Samsung Galaxy M34 5G,Electronics,Smartphones,18999,60,"6.5-inch sAMOLED, 50MP triple camera"
112,Whirlpool 7kg Washing Machine,Home & Kitchen,Appliances,18990,25,"Fully Automatic Top Load"
113,Levi's 501 Jeans,Fashion,Men's Clothing,3499,180,"Original Fit, 100% Cotton"
114,Lakme 9to5 Foundation,Beauty,Makeup,499,120,"Matte finish, SPF 20, 30ml"
115,Philips Hair Dryer,Beauty,Grooming,1299,90,"2000W, 2 Heat Settings"
116,Adidas Running Shoes,Fashion,Sports Shoes,4999,70,"Cloudfoam midsole, Breathable upper"
117,Butterfly Stainless Steel Cookware,Home & Kitchen,Cookware,1599,150,"3-Piece set, Induction base"
118,Puma Backpack,Fashion,Bags & Luggage,1799,110,"30L capacity, Laptop compartment"
119,Dove Shampoo 1L,Beauty,Hair Care,499,200,"Nourishing care for all hair types"
120,HP 15s Laptop,Electronics,Computers,42999,40,"11th Gen i3, 8GB RAM, 512GB SSD"
121,Redmi Note 12 Pro 5G,Electronics,Smartphones,23999,55,"6.67-inch AMOLED, 50MP camera"
122,LG 140cm 4K TV,Electronics,Televisions,54990,20,"4K Ultra HD, webOS 22"
123,Pigeon Electric Kettle,Home & Kitchen,Kitchen Appliances,999,120,"1.5L, Stainless Steel"
124,Peter England Formal Trousers,Fashion,Men's Clothing,1499,160,"Slim Fit, Easy Iron"
125,L'Oreal Paris Kajal,Beauty,Makeup,199,180,"Smudge-proof, 12hr wear"
126,Bajaj Mixer Grinder,Home & Kitchen,Kitchen Appliances,2499,60,"750W, 3 Jars"
127,boAt Rockerz 450 Headphones,Electronics,Audio,1499,130,"40mm Drivers, 15hr playback"
128,Reebok Running Shoes,Fashion,Sports Shoes,3999,75,"Flexweave technology"
129,Tupperware Lunch Box Set,Home & Kitchen,Storage,899,180,"5-Piece set, Microwave safe"
130,Arrow Formal Shirt,Fashion,Men's Clothing,1599,140,"Regular Fit, Non-Iron"
131,Vivo T2 5G,Electronics,Smartphones,17999,45,"6.38-inch AMOLED, 64MP camera"
132,Sony HT-S20R Soundbar,Electronics,Audio,14990,15,"5.1ch, 400W output"
133,Preethi Zodiac Mixer Grinder,Home & Kitchen,Kitchen Appliances,4999,40,"750W, 3 Jars"
134,US Polo Assn T-Shirt,Fashion,Men's Clothing,899,170,"100% Cotton, Regular Fit"
135,Mac Matte Lipstick,Beauty,Makeup,999,90,"Long-wearing, 8hr stay"
136,Havells Fan,Home & Kitchen,Appliances,2199,80,"1200mm, 3 Blade"
137,JBL Flip 5 Speaker,Electronics,Audio,6999,50,"20W, IPX7 Waterproof"
138,Skechers Walking Shoes,Fashion,Sports Shoes,4499,65,"Memory Foam insole"
139,Cello Water Bottle,Home & Kitchen,Storage,299,200,"750ml, BPA Free"
140,Blackberrys Formal Shirt,Fashion,Men's Clothing,1799,130,"Slim Fit, Wrinkle-free"
141,OPPO Reno8 5G,Electronics,Smartphones,29999,35,"6.43-inch AMOLED, 50MP camera"
142,Panasonic Microwave Oven,Home & Kitchen,Kitchen Appliances,8990,25,"20L, 800W"
143,Wildcraft Backpack,Fashion,Bags & Luggage,1599,100,"25L, Water-resistant"
144,Garnier Face Wash,Beauty,Skincare,199,220,"Oil Control, 150ml"
145,Milton Thermosteel Bottle,Home & Kitchen,Storage,599,150,"1L, Hot & Cold retention"
146,UCB Jeans,Fashion,Men's Clothing,2999,110,"Slim Fit, Stretchable"
147,Noise ColorFit Pro 4,Electronics,Wearables,4999,70,"1.78-inch AMOLED, SpO2 monitor"
148,Usha Table Fan,Home & Kitchen,Appliances,1299,90,"400mm, 3 Blade"
149,WildHorn Sunglasses,Fashion,Accessories,999,120,"UV Protection, Polarized"
150,Colgate Toothpaste,Beauty,Personal Care,99,300,"Cavity Protection, 150g"
151,Realme Narzo 50 5G,Electronics,Smartphones,15999,50,"6.6-inch LCD, 50MP camera"
152,IFB Washing Machine,Home & Kitchen,Appliances,24990,20,"6.5kg, Fully Automatic"
153,Levi's T-Shirt,Fashion,Men's Clothing,999,180,"Regular Fit, 100% Cotton"
154,Lakme Absolute Mascara,Beauty,Makeup,499,100,"Volumizing, Waterproof"
155,Butterfly Gas Stove,Home & Kitchen,Kitchen Appliances,2999,60,"2 Burner, Auto Ignition"
156,Adidas Flip Flops,Fashion,Footwear,999,130,"Comfortable, Lightweight"
157,JBL Tune 230NC TWS,Electronics,Audio,5999,65,"ANC, 40hr playback"
158,Tupperware Water Bottle,Home & Kitchen,Storage,399,170,"600ml, Leak-proof"
159,Arrow Formal Trousers,Fashion,Men's Clothing,1799,120,"Slim Fit, Easy Iron"
160,Philips Trimmer,Beauty,Grooming,1299,80,"20 Length Settings"
161,Moto G82 5G,Electronics,Smartphones,21999,40,"6.6-inch OLED, 50MP camera"
162,Samsung 190L Refrigerator,Home & Kitchen,Appliances,17990,25,"Direct Cool, 5 Star"
163,US Polo Assn Polo T-Shirt,Fashion,Men's Clothing,1199,150,"Pique Cotton, Regular Fit"
164,Maybelline Compact,Beauty,Makeup,349,120,"Matte Finish, Oil Control"
165,Prestige Pressure Cooker,Home & Kitchen,Kitchen Appliances,1599,90,"3L, Hard Anodized"
166,Nike Cap,Fashion,Accessories,799,110,"Adjustable, Breathable"
167,boAt Airdopes 141,Electronics,Audio,1299,140,"42hr Playback, ENx Tech"
